Petro-Canada Petro-Pass Price (Canadian $/Litre)                Page:   1      ,,,,,,,  
            (As of: 2026-04-02)                    Created on: 2026-04-02      ,,,,,,,  
Account: 7089248298 - OBYR TRANSPORT INC.                                      ,,,,,,,  
Product: D1         - DIESEL - ULS                                             ,,,,,,,  
Region : "ALL"  Provinces: "ALL"                                               ,,,,,,,  
                          ,   ,PRICE* ,      , CBN+ ,BASE   ,         ,       ,  
                          ,   ,EXCL.  , FCT+ , PFT+ ,PRICE  ,         ,       ,  
                          ,   ,GST/HST,  FET , UTT  ,EXCL.  ,         ,       ,  
SITE NAME                 ,Prv,PST $/L,  $/L , $/L  ,TAX $/L,         ,       ,  
--------------------------,---,-------,------,------,-------,         ,       ,  
STAYNER                   , ON, 1.7972,0.0400,0.0900, 1.6672,         ,       ,  
ST. CATHARINES            , ON, 1.7945,0.0400,0.0900, 1.6645,         ,       ,  
ST ISIDORE                , ON, 1.8373,0.0400,0.0900, 1.7073,         ,       ,  
ST-THOMAS PETRO-PASS    ON,   , 1.7825,0.0400,0.0900, 1.6525,         ,       ,  
SUDBURY-BARRYDOWNE        , ON, 1.8257,0.0400,0.0900, 1.6957,         ,       ,  
SUDBURY-REGENT            , ON, 1.8257,0.0400,0.0900, 1.6957,         ,       ,  
SUMMERSTOWN               , ON, 1.7887,0.0400,0.0900, 1.6587,         ,       ,  
THUNDER BAY               , ON, 1.6075,0.0400,0.0900, 1.4775,         ,       ,  
TIMMINS-MONETA            , ON, 1.8207,0.0400,0.0900, 1.6907,         ,       ,  
TORONTO-NORTH QUEEN       , ON, 1.7801,0.0400,0.0900, 1.6501,         ,       ,  
VAUGHAN                   , ON, 1.7930,0.0400,0.0900, 1.6630,         ,       ,  
WATERLOO                  , ON, 1.7940,0.0400,0.0900, 1.6640,         ,       ,  
WELLAND                   , ON, 1.8035,0.0400,0.0900, 1.6735,         ,       ,  
WINDSOR-COUNTY RD 46      , ON, 1.7901,0.0400,0.0900, 1.6601,         ,       ,  
WINGHAM  22716            , ON, 1.7834,0.0400,0.0900, 1.6534,         ,       ,  
